configuration,seed,condition,noise_type,target_snr_db,exposure,class_name,precision,recall,f1,support
noise_augmented_rr,123,bw_-6db,bw,-6.0,seen_snr,F,0.058823529411764705,0.03225806451612903,0.041666666666666664,31
noise_augmented_rr,2026,bw_-6db,bw,-6.0,seen_snr,N,0.9356075501376327,0.9794175156941443,0.9570114133440595,9717
noise_augmented_rr,2026,bw_-6db,bw,-6.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,bw_-6db,bw,-6.0,seen_snr,V,0.5517826825127334,0.39926289926289926,0.4632929436920884,814
noise_augmented_rr,2026,bw_-6db,bw,-6.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,42,ma_18db,ma,18.0,seen_snr,N,0.9636824324324325,0.9393845837192549,0.9513783938714889,9717
clean_rr,42,ma_18db,ma,18.0,seen_snr,S,0.05333333333333334,0.06030150753768844,0.05660377358490566,199
clean_rr,42,ma_18db,ma,18.0,seen_snr,V,0.5532574974146846,0.6572481572481572,0.60078607523863,814
clean_rr,42,ma_18db,ma,18.0,seen_snr,F,0.010309278350515464,0.03225806451612903,0.015625,31
clean_rr,123,ma_18db,ma,18.0,seen_snr,N,0.9459352411129814,0.9831223628691983,0.964170367379895,9717
clean_rr,123,ma_18db,ma,18.0,seen_snr,S,0.045714285714285714,0.04020100502512563,0.0427807486631016,199
clean_rr,123,ma_18db,ma,18.0,seen_snr,V,0.6828752642706131,0.3968058968058968,0.5019425019425019,814
clean_rr,123,ma_18db,ma,18.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,2026,ma_18db,ma,18.0,seen_snr,N,0.9798545714626297,0.84594010497067,0.9079863028830222,9717
clean_rr,2026,ma_18db,ma,18.0,seen_snr,S,0.03571428571428571,0.005025125628140704,0.00881057268722467,199
clean_rr,2026,ma_18db,ma,18.0,seen_snr,V,0.32124352331606215,0.914004914004914,0.47539936102236424,814
clean_rr,2026,ma_18db,ma,18.0,seen_snr,F,0.03571428571428571,0.03225806451612903,0.03389830508474576,31
noise_augmented_rr,42,ma_18db,ma,18.0,seen_snr,N,0.9625560538116592,0.8836060512503859,0.9213929280463594,9717
noise_augmented_rr,42,ma_18db,ma,18.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,42,ma_18db,ma,18.0,seen_snr,V,0.33505450372920254,0.7174447174447175,0.4567852952678921,814
noise_augmented_rr,42,ma_18db,ma,18.0,seen_snr,F,0.021052631578947368,0.06451612903225806,0.031746031746031744,31
noise_augmented_rr,123,ma_18db,ma,18.0,seen_snr,N,0.9678920983528289,0.83451682618092,0.8962696877590495,9717
noise_augmented_rr,123,ma_18db,ma,18.0,seen_snr,S,0.03571428571428571,0.005025125628140704,0.00881057268722467,199
noise_augmented_rr,123,ma_18db,ma,18.0,seen_snr,V,0.27727468736524363,0.7899262899262899,0.4104691988509416,814
noise_augmented_rr,123,ma_18db,ma,18.0,seen_snr,F,0.1111111111111111,0.12903225806451613,0.11940298507462686,31
noise_augmented_rr,2026,ma_18db,ma,18.0,seen_snr,N,0.9544536457281357,0.9726252958732119,0.9634537947907641,9717
noise_augmented_rr,2026,ma_18db,ma,18.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,ma_18db,ma,18.0,seen_snr,V,0.5611175785797439,0.5921375921375921,0.576210400478183,814
noise_augmented_rr,2026,ma_18db,ma,18.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,42,ma_12db,ma,12.0,unseen_snr,N,0.9602494978327519,0.9347535247504374,0.9473299958281185,9717
clean_rr,42,ma_12db,ma,12.0,unseen_snr,S,0.047058823529411764,0.12060301507537688,0.06770098730606489,199
clean_rr,42,ma_12db,ma,12.0,unseen_snr,V,0.5875862068965517,0.5233415233415234,0.5536062378167641,814
clean_rr,42,ma_12db,ma,12.0,unseen_snr,F,0.014925373134328358,0.03225806451612903,0.02040816326530612,31
clean_rr,123,ma_12db,ma,12.0,unseen_snr,N,0.9467661691542288,0.9792116908510857,0.9627156371730662,9717
